EEG,alpha,beta,delta,theta
-6.21949,0.462486,-1.62308,0.689551,-0.390274
-2.45361,0.206737,2.27003,0.823018,-0.475656
1.10474,-0.0333243,5.18755,0.954245,-0.51293
2.7771,-0.23811,5.86493,1.083,-0.498221
0.305176,-0.395553,4.12164,1.20903,-0.431233
-4.08325,-0.50086,0.889982,1.33205,-0.315312
-6.96412,-0.555218,-2.31809,1.45175,-0.157289
-5.64576,-0.563883,-4.17459,1.56781,0.0328976
-2.32544,-0.534138,-4.1126,1.67985,0.2428
-0.976563,-0.473509,-2.46132,1.78749,0.458253
-2.2583,-0.388517,-0.155625,1.89034,0.664265
-2.96021,-0.284116,1.76023,1.98795,0.845927
-0.769043,-0.163861,2.57505,2.07987,0.989295
2.2583,-0.0307389,2.13521,2.16563,1.08225
2.09351,0.111589,0.820247,2.24475,1.1153
-1.36108,0.257521,-0.670475,2.31674,1.08223
-5.41382,0.39864,-1.62502,2.38113,0.980611
-5.79224,0.523527,-1.61731,2.43744,0.812013
-2.16675,0.61843,-0.691603,2.48523,0.58209
2.594,0.668788,0.653288,2.52408,0.300374
3.76587,0.661427,1.69821,2.55362,-0.0201834
-0.158692,0.587089,1.86536,2.57351,-0.363921
-5.80445,0.442855,1.02745,2.5835,-0.713328
-8.13599,0.233999,-0.411997,2.58337,-1.04999
-7.59888,-0.0250988,-1.72551,2.57299,-1.35553
-6.56739,-0.311334,-2.24696,2.55229,-1.61264
-6.53687,-0.594729,-1.71739,2.52131,-1.80596
-6.78101,-0.84166,-0.400748,2.48016,-1.92301
-6.45752,-1.01904,1.07803,2.42907,-1.9549
-5.68848,-1.09887,2.05889,2.36835,-1.89685
-4.94995,-1.06251,2.14837,2.29843,-1.74853
-3.33252,-0.904112,1.35552,2.21984,-1.51411
-2.31934,-0.632617,0.0358361,2.13317,-1.20219
-3.28369,-0.271759,-1.28501,2.03914,-0.825414
-5.95703,0.14201,-2.11038,1.93853,-0.399912
-6.01197,0.563451,-2.1316,1.83222,0.0555513
-2.53906,0.943809,-1.32379,1.72115,0.520495
2.85645,1.23679,0.0339969,1.60635,0.973732
5.73731,1.40453,1.4349,1.48889,1.39441
4.60205,1.42283,2.32212,1.36989,1.76307
2.57569,1.28482,2.32051,1.2505,2.06256
2.33154,1.00242,1.41663,1.13191,2.27895
1.76392,0.605389,-0.0194431,1.0153,2.40209
0.360108,0.137932,-1.40103,0.90183,2.42617
-2.33765,-0.346696,-2.19828,0.792644,2.34987
-3.8208,-0.792857,-2.1672,0.688831,2.17645
-3.86353,-1.14954,-1.41415,0.591422,1.91351
-3.73535,-1.37675,-0.286619,0.50137,1.57264
-2.71607,-1.45044,0.812188,0.419547,1.16887
-1.62964,-1.36541,1.56539,0.346722,0.719941
-1.05591,-1.13566,1.79205,0.283554,0.245371
-2.34985,-0.792387,1.44488,0.230585,-0.234511
-4.11988,-0.379555,0.620297,0.188231,-0.699502
-4.76685,0.0520152,-0.415237,0.156779,-1.13041
-3.60718,0.451404,-1.25283,0.136372,-1.50992
-2.63672,0.774164,-1.4902,0.127005,-1.82332
-2.74658,0.987816,-0.967217,0.128521,-2.05917
-2.97241,1.07552,0.0663592,0.14061,-2.20975
-2.40479,1.03745,1.01827,0.162813,-2.27133
-0.598145,0.889832,1.28223,0.194518,-2.24421
-0.793458,0.66174,0.644432,0.234973,-2.13252
-2.63672,0.390306,-0.521508,0.28329,-1.94393
-4.75464,0.114991,-1.45221,0.338459,-1.68912
-4.74243,-0.128161,-1.49292,0.399361,-1.38114
-2.41699,-0.311462,-0.563471,0.464785,-1.03477
1.30005,-0.418994,0.754146,0.533444,-0.665758
3.25318,-0.44807,1.59975,0.603982,-0.290116
2.11792,-0.40858,1.43645,0.675,0.0766479
-0.878907,-0.320425,0.436452,0.745072,0.420222
-2.73438,-0.209482,-0.64311,0.812769,0.728139
-0.689698,-0.102809,-1.01791,0.87668,0.990279
2.71607,-0.0239016,-0.462685,0.93543,1.1992
5.52369,0.0112383,0.513719,0.987697,1.35027
3.68042,-0.00333452,1.04695,1.03223,1.44171
-0.55542,-0.0626996,0.578445,1.06786,1.47439
-4.55933,-0.152134,-0.690533,1.09352,1.45165
-4.84619,-0.249892,-1.89798,1.10829,1.37893
-2.12402,-0.331212,-2.11438,1.11137,1.26346
0.427246,-0.37284,-1.00784,1.10213,1.11381
1.77612,-0.35731,0.893312,1.08009,0.93943
2.53296,-0.276316,2.52152,1.04497,0.750132
3.39966,-0.132622,2.94225,0.996645,0.555592
1.92871,0.0598266,1.91639,0.935193,0.364872
-1.12305,0.277645,-0.000980161,0.860884,0.185991
-3.04566,0.49132,-1.84038,0.774175,0.0256145
-1.64795,0.669562,-2.78104,0.67571,-0.11117
-0.195313,0.784037,-2.53302,0.566309,-0.220963
0.341797,0.813784,-1.35764,0.44697,-0.302087
-1.00708,0.748667,0.18796,0.318859,-0.354528
-1.07422,0.591297,1.5508,0.183296,-0.379831
1.59302,0.357071,2.35027,0.0417387,-0.380922
3.25318,0.0723132,2.402,-0.104239,-0.361844
3.24097,-0.229189,1.69764,-0.252965,-0.327437
0.299072,-0.510754,0.416777,-0.402688,-0.282993
-3.38135,-0.737801,-1.0586,-0.551602,-0.233928
-5.98755,-0.882538,-2.21761,-0.69786,-0.185499
-6.48804,-0.927685,-2.61474,-0.839601,-0.142531
-4.76685,-0.868708,-2.09482,-0.974968,-0.109187
-1.98975,-0.714339,-0.892133,-1.10213,-0.0887613
-0.152588,-0.485294,0.48672,-1.21933,-0.0835277
-0.842286,-0.211355,1.53292,-1.32487,-0.0946502
-2.09351,0.0727993,1.98014,-1.41717,-0.122151
-1.96533,0.332415,1.86716,-1.4948,-0.16494
0.756836,0.537358,1.4052,-1.55644,-0.220912
2.93579,0.665992,0.783353,-1.60096,-0.287089
2.50855,0.707729,0.0754487,-1.62741,-0.35981
-0.915528,0.663981,-0.697367,-1.63505,-0.434936
-4.70581,0.547433,-1.43964,-1.62333,-0.508044
-5.52369,0.379773,-1.93522,-1.59194,-0.574644
-4.5044,0.18819,-1.94464,-1.54079,-0.630395
-3.09448,0.00116518,-1.37243,-1.47005,-0.671316
-1.39771,-0.155766,-0.363931,-1.38009,-0.693949
-0.927735,-0.263625,0.749341,-1.27155,-0.695499
0.0732422,-0.312411,1.61157,-1.14529,-0.673927
0.610352,-0.302058,1.99003,-1.00241,-0.628013
0.170899,-0.241876,1.82091,-0.844215,-0.557398
2.34375,-0.148658,1.16953,-0.672219,-0.462591
3.27759,-0.0437253,0.188367,-0.488129,-0.344993
2.63062,0.050656,-0.877516,-0.293823,-0.206885
0.0854493,0.114942,-1.68294,-0.091333,-0.0513947
-0.848389,0.135492,-1.86683,0.117187,0.117579
1.07422,0.106755,-1.2517,0.329478,0.295488
4.20532,0.0321604,-0.0420633,0.543206,0.477271
5.32227,-0.0763711,1.16798,0.755982,0.6575
5.57251,-0.200225,1.67464,0.965389,0.830517
5.07202,-0.316938,1.10835,1.16901,0.990596
3.38135,-0.403678,-0.256605,1.36445,1.13213
0.878907,-0.440824,-1.59033,1.54939,1.24984
0.0732422,-0.415117,-1.99911,1.72157,1.33894
4.23584,-0.321957,-1.12028,1.87885,1.39529
10.7788,-0.16654,0.595323,2.01924,1.41553
13.6719,0.0363123,2.13961,2.14089,1.39722
11.3648,0.263691,2.59194,2.24214,1.33896
6.10962,0.487341,1.71397,2.32152,1.24046
4.84619,0.677281,0.079866,2.37778,1.10266
6.65284,0.80578,-1.34388,2.40993,0.927731
9.33838,0.851167,-1.85937,2.41718,0.719138
8.77076,0.80095,-1.4622,2.39902,0.481591
5.00489,0.653887,-0.738428,2.35521,0.220969
0.695801,0.42071,-0.33858,2.28575,-0.055827
-1.96533,0.12337,-0.444755,2.19093,-0.341037
-1.29395,-0.207202,-0.642265,2.07127,-0.626258
1.89209,-0.534573,-0.294082,1.92757,-0.902728
4.70581,-0.821065,0.869052,1.76088,-1.16167
5.31617,-1.03222,2.40226,1.57247,-1.39462
2.81372,-1.14096,3.33546,1.36385,-1.5937
-0.976563,-1.13098,2.80273,1.1367,-1.75182
-2.36817,-0.999085,0.689907,0.892893,-1.86292
-3.06397,-0.755953,-2.15649,0.634471,-1.92214
-4.54102,-0.425293,-4.33349,0.3636,-1.92614
-6.96412,-0.0413086,-4.669,0.0825686,-1.87322
-7.44629,0.355107,-2.90924,-0.206244,-1.76354
-2.61841,0.720998,0.115709,-0.500392,-1.59915
3.41797,1.01626,2.94441,-0.797391,-1.38396
5.14527,1.20828,4.27688,-1.09475,-1.12369
3.07007,1.27569,3.64137,-1.39001,-0.825633
-0.0610352,1.21087,1.56904,-1.68074,-0.49849
-1.54419,1.02086,-0.781935,-1.96458,-0.152091
-1.61743,0.726605,-2.29387,-2.23928,0.202879
-1.62964,0.360496,-2.45124,-2.50268,0.555226
-0.201416,-0.0374628,-1.50274,-2.75279,0.89361
1.45264,-0.424421,-0.191406,-2.98776,1.20694
0.994874,-0.75968,0.73194,-3.20595,1.48476
-1.48926,-1.00929,0.906903,-3.40586,1.71768
-4.13819,-1.14974,0.468558,-3.58625,1.89771
-3.99781,-1.17032,-0.142962,-3.74605,2.0186
-2.01416,-1.07396,-0.500441,-3.88442,2.07607
-0.372315,-0.876308,-0.426418,-4.00076,2.06798
-0.830079,-0.603363,-0.0319689,-4.09468,1.99441
-1.91651,-0.287886,0.415615,-4.16603,1.85766
-2.81372,0.0347889,0.674148,-4.21485,1.6622
-2.03247,0.331084,0.640264,-4.24139,1.41452
-0.524903,0.573063,0.35781,-4.24611,1.12297
0.250244,0.741385,-0.039714,-4.22965,0.797411
-0.750733,0.826941,-0.393496,-4.19285,0.448863
-3.24097,0.831,-0.565038,-4.13669,0.0891379
-4.92554,0.763911,-0.475752,-4.06232,-0.26957
-3.59497,0.642638,-0.152229,-3.97097,-0.615109
-1.12915,0.487566,0.247375,-3.864,-0.935832
-0.860596,0.31915,0.475243,-3.74285,-1.22102
-3.66822,0.154941,0.323923,-3.60899,-1.46127
-6.99463,0.00743435,-0.212374,-3.46395,-1.64883
-7.6233,-0.116935,-0.863245,-3.30927,-1.77786
-6.84815,-0.217552,-1.18916,-3.14647,-1.84467
-5.23072,-0.298267,-0.847622,-2.97706,-1.84786
-3.50952,-0.365257,0.140134,-2.80251,-1.78828
-2.13623,-0.424563,1.32252,-2.62419,-1.66901
-1.78223,-0.479799,2.04131,-2.44343,-1.49521
-3.45459,-0.530491,1.83348,-2.26144,-1.27392
-4.31519,-0.571344,0.749805,-2.07933,-1.01381
-4.19922,-0.592649,-0.642493,-1.89812,-0.724825
-4.01001,-0.581813,-1.60078,-1.71867,-0.417802
-3.88794,-0.525889,-1.67545,-1.54172,-0.104064
-2.76489,-0.414702,-0.985759,-1.36789,0.20503
-2.89307,-0.243985,-0.107095,-1.19764,0.498513
-2.19727,-0.0178891,0.352113,-1.03132,0.766221
-1.83716,0.249761,0.179642,-0.869122,0.999158
-1.08643,0.535794,-0.3161,-0.711137,1.18979
0.390625,0.809676,-0.57218,-0.55733,1.33227
0.842286,1.03693,-0.221812,-0.407563,1.42263
1.68457,1.18359,0.613814,-0.261604,1.45885
3.34473,1.22116,1.41224,-0.119137,1.44098
5.12085,1.13139,1.64295,0.0202211,1.37109
5.53589,0.910113,1.15999,0.156905,1.25318
3.19214,0.569403,0.29021,0.291377,1.09303
-0.311279,0.137583,-0.445099,0.424107,0.897943
-1.95313,-0.343032,-0.74568,0.555559,0.676366
-0.726319,-0.820469,-0.743919,0.686174,0.437564
-0.793458,-1.23909,-0.834612,0.816356,0.191243
-3.6499,-1.54649,-1.25969,0.946454,-0.0528197
-7.82471,-1.70046,-1.79981,1.07675,-0.285198
-8.60596,-1.6749,-1.85886,1.20745,-0.497239
-5.50537,-1.46386,-0.92046,1.33865,-0.68143
-0.683594,-1.08331,0.955514,1.47035,-0.831675
5.28565,-0.570029,2.99591,1.60241,-0.943466
7.99561,0.0220325,4.09523,1.73455,-1.01399
7.15943,0.627835,3.49464,1.86639,-1.04222
3.02124,1.17889,1.30437,1.99738,-1.02889
-0.299072,1.61151,-1.49691,2.12685,-0.976458
-0.0976563,1.87465,-3.59992,2.25402,-0.888908
2.61231,1.93623,-4.09103,2.37797,-0.77153
4.07105,1.7872,-2.90713,2.49766,-0.630661
4.45557,1.44275,-0.767788,2.61196,-0.473392
3.67432,0.940638,1.30498,2.71965,-0.307225
3.30811,0.336687,2.52681,2.8194,-0.139712
3.89405,-0.301849,2.63041,2.90985,0.021922
4.13819,-0.904249,1.80812,2.98956,0.171116
2.39258,-1.40459,0.480819,3.05708,0.302253
0.189209,-1.74926,-0.889696,3.11095,0.41086
-1.36719,-1.90289,-1.86585,3.14975,0.493737
-1.40381,-1.85193,-2.06874,3.17212,0.549032
-0.115967,-1.60569,-1.30411,3.17673,0.576267
1.72119,-1.19466,0.238138,3.16236,0.576293
6.29273,-0.666558,1.89664,3.12791,0.5512
8.16041,-0.0804396,2.7558,3.07241,0.504196
6.61621,0.500165,2.15185,2.99504,0.439451
0.567627,1.01438,0.177439,2.89518,0.361875
-2.91138,1.41047,-2.20527,2.77238,0.276809
-2.36206,1.65102,-3.62769,2.62643,0.189676
0.98877,1.71628,-3.13828,2.45734,0.105666
4.30908,1.60542,-0.864338,2.26535,0.0294613
5.64576,1.33575,1.96752,2.05096,-0.0349938
5.33448,0.939935,3.73087,1.81493,-0.084695
2.13013,0.461956,3.40113,1.55828,-0.117715
-2.16065,-0.04795,1.20718,1.28228,-0.133255
-4.87061,-0.53861,-1.50759,0.988455,-0.131638
-5.24292,-0.962957,-3.13226,0.678587,-0.114267
-3.74146,-1.28228,-2.7881,0.35468,-0.0835438
-2.0752,-1.46939,-0.832068,0.0189627,-0.0427448
-1.78223,-1.51052,1.43947,-0.326126,0.00418084
-2.16065,-1.40587,2.65278,-0.677953,0.0528753
-3.59497,-1.16895,2.19534,-1.03372,0.0988872
-5.36499,-0.82476,0.501229,-1.39048,0.137991
-7.00684,-0.407323,-1.33967,-1.7452,0.166453
-6.98853,0.0434911,-2.31889,-2.09477,0.181223
-5.82276,0.485453,-2.07782,-2.436,0.180091
-5.21851,0.877659,-0.97446,-2.76573,0.161818
-5.18189,1.18404,0.300698,-3.08078,0.126228
-4.65699,1.37642,1.21352,-3.37804,0.0742452
-2.39258,1.4369,1.62421,-3.65448,0.00785345
-1.06201,1.35947,1.66774,-3.90718,-0.0699962
-2.10571,1.15075,1.4628,-4.1334,-0.155532
-4.66919,0.829658,0.946759,-4.33058,-0.244348
-6.89698,0.425984,-0.00979389,-4.49637,-0.331622
-8.63648,-0.022166,-1.32234,-4.62871,-0.41236
-11.3464,-0.471747,-2.52707,-4.72576,-0.481678
-12.9578,-0.878769,-2.94056,-4.78605,-0.5351
-12.5732,-1.20253,-2.09425,-4.80842,-0.568832
-8.844,-1.40971,-0.146823,-4.79205,-0.579993
-5.59082,-1.4779,2.05783,-4.73648,-0.566783
-4.98047,-1.39812,3.39898,-4.64164,-0.528566
-5.84717,-1.17623,3.13538,-4.5078,-0.465914
-6.20118,-0.832785,1.38847,-4.33565,-0.380595
-6.57959,-0.401394,-0.886397,-4.12626,-0.275514
-6.49414,0.0744533,-2.45385,-3.88108,-0.154589
-5.40161,0.545762,-2.53883,-3.60192,-0.0225831
-2.05078,0.963188,-1.27999,-3.29096,0.115098
1.36719,1.28242,0.397078,-2.95071,0.252629
2.22778,1.46917,1.40094,-2.584,0.384015
-0.408936,1.50314,1.18042,-2.19394,0.503383
-2.33154,1.38048,0.0541476,-1.78392,0.605294
-2.63672,1.11433,-1.04375,-1.35756,0.685045
-0.292969,0.733496,-1.22131,-0.918675,0.73892
2.79541,0.279209,-0.247554,-0.471235,0.764369
4.5166,-0.199441,1.27571,-0.0193179,0.76011
3.94898,-0.651045,2.29713,0.432924,0.726179
1.50757,-1.02762,2.0009,0.881302,0.663914
-1.23901,-1.28998,0.353098,1.32164,0.575896
-3.31421,-1.41198,-1.83236,1.7498,0.465825
-4.39453,-1.38335,-3.3439,2.16176,0.338343
-3.58277,-1.21056,-3.26347,2.55363,0.198817
0.274658,-0.915797,-1.49538,2.9217,0.0530883
3.88794,-0.534089,1.15976,3.26246,-0.0927881
6.35376,-0.109055,3.41348,3.57268,-0.232819
6.31714,0.312248,4.14974,3.8494,-0.361342
4.19922,0.684726,2.98858,4.08998,-0.473288
2.4353,0.970275,0.471412,4.29216,-0.564406
1.04981,1.14186,-2.21334,4.45405,-0.631433
-0.195313,1.18617,-3.81874,4.57417,-0.672192
-0.714112,1.10454,-3.64825,4.65145,-0.685637
-0.610352,0.912152,-1.88436,4.68527,-0.671865
1.61743,0.635596,0.527355,4.67543,-0.6321
4.24805,0.30922,2.38153,4.62216,-0.568617
4.04663,-0.0292197,2.84418,4.52615,-0.484607
0.964356,-0.343024,1.87438,4.3885,-0.383977
-2.39868,-0.600576,0.202245,4.21075,-0.27114
-3.25318,-0.778515,-1.12682,3.99483,-0.150832
-2.14844,-0.863743,-1.37814,3.74307,-0.0279307
0.128174,-0.854123,-0.552354,3.45817,0.0927499
1.83106,-0.757867,0.64874,3.14318,0.206693
1.48316,-0.591815,1.29271,2.80143,0.309874
-1.74561,-0.378876,0.827884,2.43657,0.398906
-5.93872,-0.144992,-0.550921,2.05245,0.471112
-7.67823,0.0839794,-2.01315,1.65313,0.524574
-6.50025,0.285075,-2.60573,1.24281,0.558131
-4.10157,0.440397,-1.84125,0.825806,0.571354
-1.31836,0.538471,0.0044089,0.406491,0.564507
0.0793458,0.574746,2.05413,-0.010738,0.538517
-1.13525,0.551314,3.32844,-0.421507,0.494911
-1.69678,0.475993,3.26345,-0.821506,0.43571
-2.13623,0.360911,1.94936,-1.20654,0.363283
-2.11792,0.220796,-0.00598069,-1.57257,0.280211
-4.47388,0.0712153,-1.84667,-1.91576,0.189192
-8.93555,-0.0730376,-3.01625,-2.23251,0.0929698
-12.323,-0.199229,-3.29753,-2.51948,-0.00573569
-12.1094,-0.297597,-2.73807,-2.77365,-0.104307
-9.74122,-0.361836,-1.50188,-2.99234,-0.200304
-6.57349,-0.389158,0.200384,-3.17323,-0.291512
-4.48609,-0.380002,2.06274,-3.31439,-0.375963
-2.771,-0.33755,3.61339,-3.41429,-0.451934
-1.64795,-0.267167,4.26559,-3.4718,-0.517906
-1.35498,-0.175853,3.54946,-3.48626,-0.572524
-3.17383,-0.0716637,1.42817,-3.45741,-0.614568
-6.43921,0.0368536,-1.51036,-3.38544,-0.642944
-10.1135,0.141178,-4.17036,-3.27097,-0.656691
-11.3525,0.233221,-5.39166,-3.11507,-0.654978
-9.41163,0.305669,-4.52466,-2.9192,-0.637105
-5.59693,0.352344,-1.82282,-2.68523,-0.60252
-1.34277,0.368623,1.59745,-2.41541,-0.550865
1.83716,0.351903,4.25212,-2.11233,-0.48206
2.86255,0.302063,5.00296,-1.77892,-0.396401
2.02026,0.2218,3.61401,-1.41837,-0.294646
-0.531006,0.11669,0.850593,-1.03415,-0.178084
-3.07007,-0.00509098,-1.93089,-0.629956,-0.0485725
-3.60108,-0.133327,-3.475,-0.209673,0.0914544
-1.08643,-0.256498,-3.22677,0.222678,0.238981
2.68555,-0.362667,-1.53335,0.662975,0.390421
5.7251,-0.4405,0.622148,1.10703,0.541649
6.12183,-0.480376,2.1681,1.55064,0.68811
4.88892,-0.475473,2.46001,1.9896,0.82498
4.30298,-0.422719,1.51195,2.41978,0.947333
4.73023,-0.323524,-0.118303,2.83715,1.05027
4.82788,-0.184125,-1.66314,3.23782,1.12907
4.04053,-0.0154593,-2.49194,3.61811,1.17933
4.29688,0.167513,-2.31801,3.97451,1.19723
5.28565,0.347005,-1.23065,4.30379,1.17977
7.54395,0.504014,0.39229,4.60298,1.12497
10.6812,0.62024,2.0191,4.86941,1.03204
13.7451,0.680126,3.10778,5.10074,0.901483
14.5081,0.672837,3.25076,5.29498,0.73516
12.4878,0.593895,2.30797,5.45051,0.5363
8.19092,0.446247,0.487763,5.56606,0.309505
3.96729,0.240557,-1.67721,5.64075,0.0607136
0.958253,-0.00531486,-3.48128,5.67408,-0.202911
-0.976563,-0.267651,-4.28432,5.66595,-0.47319
-0.787354,-0.51897,-3.74617,5.61666,-0.741223
-0.402832,-0.730754,-1.96168,5.52687,-0.997725
0.909424,-0.876585,0.554602,5.39763,-1.23337
2.69776,-0.935354,3.02302,5.23035,-1.43914
5.63355,-0.894201,4.6384,5.02678,-1.6067
8.16041,-0.750783,4.82511,4.78898,-1.72876
7.83692,-0.51449,3.44042,4.51933,-1.79944
3.88184,-0.206283,0.864237,4.22046,-1.81453
-0.799561,0.142908,-2.07462,3.89526,-1.77177
-3.2959,0.495169,-4.34988,3.5468,-1.67094
-3.52173,0.809655,-5.11085,3.17835,-1.51397
-1.60523,1.04737,-4.04218,2.7933,-1.30487
0.689698,1.17609,-1.5411,2.39513,-1.0497
3.45459,1.17474,1.40396,1.98741,-0.75631
5.24903,1.03673,3.61526,1.57373,-0.434131
5.13916,0.771594,4.24056,1.15773,-0.0938046
3.21045,0.404833,3.13665,0.742985,0.253217
-0.012207,-0.024325,0.926028,0.333049,0.595083
-1.47705,-0.467083,-1.31123,-0.0686348,0.919961
-0.158692,-0.870692,-2.56269,-0.458742,1.21649
1.07422,-1.18484,-2.36491,-0.834106,1.47429
1.33057,-1.36806,-1.00148,-1.19175,1.68438
0.830079,-1.39337,0.676355,-1.5289,1.83957
1.30005,-1.25244,1.70871,-1.84303,1.93472
2.71607,-0.95743,1.52833,-2.13188,1.96695
1.62964,-0.540316,0.249086,-2.39345,1.93571
-0.939942,-0.0494872,-1.40341,-2.62604,1.84289
-3.38745,0.455929,-2.48062,-2.82826,1.69265
-2.81372,0.913409,-2.31689,-2.99901,1.4913
0.45166,1.26514,-0.886806,-3.13754,1.24696
5.06592,1.46576,1.17443,-3.2434,0.969274
8.3191,1.48861,2.89739,-3.31647,0.668913
7.6355,1.32959,3.47347,-3.35693,0.357179
3.74756,1.00803,2.65103,-3.36531,0.045529
0.933838,0.564512,0.82652,-3.34244,-0.25488
0.732422,0.0556241,-1.19799,-3.28943,-0.533676
-0.00610352,-0.453453,-2.63289,-3.2077,-0.781722
-1.68457,-0.897705,-3.05275,-3.09892,-0.991506
-3.59497,-1.22105,-2.50474,-2.965,-1.15741
-3.42407,-1.38393,-1.3619,-2.80806,-1.27588
-1.58081,-1.36866,-0.0629116,-2.63043,-1.3455
-0.22583,-1.1818,1.07801,-2.43461,-1.36694
1.82495,-0.853041,1.89513,-2.22326,-1.34286
4.49219,-0.430875,2.27765,-1.99915,-1.27776
5.95093,0.0245069,2.09756,-1.76517,-1.17765
4.98047,0.449991,1.26528,-1.52425,-1.04972
2.41699,0.788671,-0.109821,-1.27939,-0.901913
0.720215,0.99796,-1.59971,-1.03358,-0.742505
0.76294,1.05552,-2.53775,-0.789796,-0.579666
3.05176,0.962148,-2.33246,-0.55097,-0.421071
6.15845,0.741102,-0.864375,-0.319941,-0.273522
8.12378,0.434051,1.29736,-0.0994425,-0.14262
7.92847,0.0941942,3.06253,0.107921,-0.032499
6.0669,-0.222319,3.3555,0.299696,0.0543481
3.83911,-0.465346,1.75086,0.473601,0.117141
1.23291,-0.598685,-1.17277,0.627547,0.156769
-2.33765,-0.605727,-4.02174,0.75965,0.175667
-4.48609,-0.491915,-5.27455,0.868254,0.177614
-3.88184,-0.283629,-4.11117,0.951937,0.167454
1.08643,-0.0236761,-0.908571,1.00953,0.150751
7.64161,0.235917,2.90705,1.04014,0.133391
11.2305,0.442735,5.59183,1.04314,0.121153
11.1633,0.553051,5.98871,1.01816,0.119302
7.70874,0.539673,4.08597,0.96514,0.132225
4.05274,0.397157,0.923188,0.884288,0.163131
1.62964,0.143443,-2.06057,0.776088,0.213808
-0.384522,-0.182402,-3.81,0.641305,0.284433
-0.524903,-0.526013,-4.09303,0.480967,0.373473
-1.41602,-0.826253,-3.38051,0.296348,0.477712
-3.69263,-1.02516,-2.33337,0.0889594,0.592403
-5.7312,-1.07775,-1.30798,-0.139462,0.711504
-5.46875,-0.960158,-0.230491,-0.386968,0.827963
-0.421143,-0.674663,1.11669,-0.651413,0.934069
4.90113,-0.250822,2.67545,-0.930477,1.02187
7.87964,0.257744,3.93557,-1.22168,1.08368
7.50123,0.780523,4.18038,-1.52242,1.11252
5.41993,1.24025,2.99358,-1.82999,1.10265
3.2898,1.56451,0.646735,-2.14158,1.04989
0.634766,1.69705,-1.94348,-2.45436,0.951951
-1.95923,1.60698,-3.6911,-2.76545,0.80863
-4.19312,1.29445,-3.93899,-3.07198,0.621971
-4.84009,0.791809,-2.78491,-3.3711,0.396322
-5.45044,0.160009,-0.941904,-3.66002,0.138295
-6.37818,-0.519377,0.732631,-3.93602,-0.143449
-8.62427,-1.15538,1.6961,-4.19646,-0.438556
-9.32007,-1.66051,1.88023,-4.43883,-0.735449
-9.40552,-1.96346,1.52137,-4.66073,-1.02183
-9.26514,-2.01957,0.878342,-4.85994,-1.28523
-10.5713,-1.81762,0.0956578,-5.03439,-1.51359
-11.9751,-1.38183,-0.710284,-5.18225,-1.69584
-11.853,-0.768725,-1.29684,-5.30186,-1.82253
-10.1196,-0.0593807,-1.30239,-5.39183,-1.8863
-7.34253,0.651871,-0.492249,-5.45099,-1.88231
-4.27857,1.27065,0.931446,-5.47843,-1.80856
-1.47095,1.71581,2.25661,-5.47351,-1.66601
-1.15357,1.93078,2.59101,-5.43583,-1.45865
-3.94898,1.89134,1.44748,-5.3653,-1.19341
-8.61817,1.60873,-0.813953,-5.26206,-0.879872
-11.3892,1.12756,-3.05421,-5.12653,-0.529952
-10.144,0.51893,-3.97541,-4.95937,-0.157393
-7.38526,-0.130124,-2.93384,-4.76153,0.222858
-4.80957,-0.729334,-0.406307,-4.53416,0.595358
-2.87476,-1.19819,2.23612,-4.27866,0.944868
-1.66016,-1.4773,3.54037,-3.99667,1.257
-2.19116,-1.53649,2.86054,-3.69,1.51885
-4.54712,-1.3784,0.747276,-3.36069,1.71953
-6.00586,-1.0371,-1.41754,-3.01092,1.85075
-3.34473,-0.57204,-2.30149,-2.64304,1.90724
1.44043,-0.0584364,-1.44652,-2.25954,1.88701
4.23584,0.424508,0.483507,-1.86301,1.79148
3.88184,0.805589,2.16666,-1.45613,1.62537
2.02026,1.03211,2.47382,-1.04164,1.3965
-0.0793458,1.07737,1.15559,-0.622354,1.11543
-2.29492,0.943955,-1.04759,-0.20108,0.794975
-4.83399,0.662474,-2.89669,0.219368,0.449685
-5.74952,0.285915,-3.39962,0.636215,0.0951655
-4.29077,-0.119296,-2.34363,1.04675,-0.252645
-2.34375,-0.484124,-0.32783,1.44833,-0.578238
-0.604248,-0.747914,1.65602,1.83842,-0.867266
0.65918,-0.867859,2.78609,2.21461,-1.10721
1.75781,-0.825535,2.77475,2.57462,-1.28799
2.71607,-0.629543,1.87248,2.91633,-1.40237
3.17993,-0.313885,0.595314,3.23782,-1.44633
2.58179,0.067615,-0.593355,3.53733,-1.41917
1.72119,0.450002,-1.44497,3.81332,-1.32354
0.561524,0.767623,-1.886,4.06447,-1.16528
1.58081,0.964699,-1.88615,4.28968,-0.953165
2.6062,1.00434,-1.39102,4.4881,-0.698455
3.79029,0.874586,-0.393333,4.6591,-0.414374
4.54102,0.590579,0.922047,4.80228,-0.115459
6.34156,0.192511,2.1099,4.91748,0.183167
7.69043,-0.260268,2.59043,5.00477,0.466533
5.85938,-0.698187,1.9499,5.06444,0.720544
1.5686,-1.05212,0.250573,5.09701,0.932621
-0.939942,-1.26407,-1.86647,5.10318,1.09228
-1.32446,-1.29627,-3.4079,5.08388,1.19159
-0.00610352,-1.1372,-3.51205,5.0402,1.22562
1.26343,-0.803694,-1.94063,4.9734,1.19258
3.90015,-0.338873,0.713253,4.88491,1.09398
